Sensor1,Sensor2,Sensor3,Sensor4,,Actual,Predicted
1.415,0.462,1.866,1.154,,Slight-Right-Turn,Slight-Right-Turn
1.413,0.462,1.864,1.163,,Slight-Right-Turn,Slight-Right-Turn
1.603,0.463,1.861,1.172,,Slight-Right-Turn,Slight-Right-Turn
1.593,0.464,1.859,1.185,,Slight-Right-Turn,Slight-Right-Turn
1.38,0.465,1.853,1.195,,Slight-Right-Turn,Slight-Right-Turn
1.371,0.466,1.851,1.205,,Slight-Right-Turn,Slight-Right-Turn
1.363,0.467,1.846,1.215,,Slight-Right-Turn,Slight-Right-Turn
1.355,0.469,1.846,0.567,,Slight-Right-Turn,Slight-Right-Turn
1.347,0.471,1.84,1.233,,Slight-Right-Turn,Slight-Right-Turn
1.34,0.472,1.837,1.242,,Slight-Right-Turn,Slight-Right-Turn
1.332,0.474,1.834,1.251,,Slight-Right-Turn,Slight-Right-Turn
1.515,0.476,1.831,1.26,,Slight-Right-Turn,Slight-Right-Turn
1.505,0.478,1.828,1.27,,Slight-Right-Turn,Slight-Right-Turn
1.494,0.479,1.825,1.277,,Slight-Right-Turn,Slight-Right-Turn
1.484,0.481,1.822,1.286,,Slight-Right-Turn,Slight-Right-Turn
1.473,0.482,1.819,1.296,,Slight-Right-Turn,Slight-Right-Turn
1.464,0.484,1.816,1.308,,Slight-Right-Turn,Slight-Right-Turn
1.454,0.486,1.813,1.314,,Slight-Right-Turn,Slight-Right-Turn
1.444,0.488,1.807,1.327,,Slight-Right-Turn,Slight-Right-Turn
1.434,0.49,1.804,0.817,,Slight-Right-Turn,Slight-Right-Turn
1.424,0.492,1.8,0.825,,Slight-Right-Turn,Slight-Right-Turn
1.415,0.494,1.798,0.83,,Slight-Right-Turn,Slight-Right-Turn
1.406,0.497,1.795,0.838,,Move-Forward,Slight-Right-Turn
1.397,0.499,1.792,0.846,,Move-Forward,Slight-Right-Turn
1.387,0.502,1.789,0.855,,Move-Forward,Slight-Right-Turn
1.377,0.505,1.785,0.861,,Move-Forward,Slight-Right-Turn
1.366,0.508,1.781,0.572,,Move-Forward,Move-Forward
1.354,0.512,1.776,0.578,,Move-Forward,Move-Forward
1.34,0.517,1.77,0.579,,Move-Forward,Slight-Right-Turn
1.326,0.523,1.764,0.584,,Move-Forward,Move-Forward
1.311,0.528,1.758,0.934,,Move-Forward,Move-Forward
1.298,0.534,1.751,0.595,,Move-Forward,Move-Forward
1.279,0.541,1.743,0.604,,Move-Forward,Move-Forward
1.262,0.549,1.735,1.526,,Move-Forward,Move-Forward
1.245,0.556,1.727,0.625,,Move-Forward,Move-Forward
1.227,0.565,1.719,0.626,,Move-Forward,Move-Forward
1.209,0.571,1.711,1.579,,Move-Forward,Move-Forward
1.192,0.579,1.703,0.64,,Move-Forward,Move-Forward
1.174,0.587,1.695,1.621,,Move-Forward,Move-Forward
1.156,0.595,1.686,1.641,,Move-Forward,Move-Forward
1.141,0.603,1.677,1.658,,Move-Forward,Move-Forward
1.122,0.611,1.668,1.675,,Move-Forward,Move-Forward
1.103,0.619,1.658,0.68,,Move-Forward,Move-Forward
1.084,0.627,1.649,1.72,,Move-Forward,Move-Forward
1.065,0.636,1.64,0.697,,Move-Forward,Move-Forward
1.043,0.645,1.63,0.706,,Move-Forward,Move-Forward
1.024,0.651,1.622,0.707,,Move-Forward,Move-Forward
1.006,0.662,1.613,0.719,,Move-Forward,Move-Forward
0.988,0.67,1.604,0.724,,Move-Forward,Move-Forward
0.97,0.678,1.595,0.782,,Move-Forward,Move-Forward
0.952,0.687,1.586,1.869,,Move-Forward,Move-Forward
0.933,0.696,1.576,1.358,,Move-Forward,Sharp-Right-Turn
0.915,0.705,1.567,1.907,,Move-Forward,Move-Forward
0.897,0.714,1.555,1.927,,Sharp-Right-Turn,Move-Forward
0.878,0.722,1.552,1.41,,Sharp-Right-Turn,Sharp-Right-Turn
0.86,0.73,1.537,1.416,,Sharp-Right-Turn,Sharp-Right-Turn
0.843,0.738,1.525,0.809,,Sharp-Right-Turn,Sharp-Right-Turn
0.825,0.746,1.513,0.804,,Sharp-Right-Turn,Sharp-Right-Turn
0.809,0.753,1.504,0.814,,Sharp-Right-Turn,Sharp-Right-Turn
0.794,0.759,1.494,0.82,,Sharp-Right-Turn,Sharp-Right-Turn
0.785,0.762,1.495,1.492,,Sharp-Right-Turn,Sharp-Right-Turn
0.784,0.76,1.498,0.847,,Sharp-Right-Turn,Sharp-Right-Turn
0.787,0.759,1.503,0.843,,Sharp-Right-Turn,Sharp-Right-Turn
0.788,0.758,1.505,0.846,,Sharp-Right-Turn,Sharp-Right-Turn
0.789,0.758,1.505,0.845,,Sharp-Right-Turn,Sharp-Right-Turn
0.788,0.758,1.502,0.841,,Sharp-Right-Turn,Sharp-Right-Turn
0.788,0.758,1.502,0.841,,Sharp-Right-Turn,Sharp-Right-Turn
0.791,0.758,1.502,0.843,,Sharp-Right-Turn,Sharp-Right-Turn
0.791,0.757,1.502,0.841,,Sharp-Right-Turn,Sharp-Right-Turn
0.789,0.757,1.503,0.842,,Sharp-Right-Turn,Sharp-Right-Turn
0.785,0.759,1.504,0.825,,Sharp-Right-Turn,Sharp-Right-Turn
0.784,0.758,1.501,0.792,,Sharp-Right-Turn,Sharp-Right-Turn
0.783,0.766,1.502,0.79,,Sharp-Right-Turn,Sharp-Right-Turn
0.783,0.76,1.502,0.789,,Sharp-Right-Turn,Sharp-Right-Turn
0.782,0.759,1.506,0.788,,Sharp-Right-Turn,Sharp-Right-Turn
0.782,0.759,1.504,0.787,,Sharp-Right-Turn,Sharp-Right-Turn
0.781,0.755,1.504,0.785,,Sharp-Right-Turn,Sharp-Right-Turn
0.78,0.755,1.505,0.78,,Sharp-Right-Turn,Sharp-Right-Turn
0.779,0.754,1.506,0.778,,Sharp-Right-Turn,Sharp-Right-Turn
0.777,0.754,1.507,0.776,,Sharp-Right-Turn,Sharp-Right-Turn
0.776,0.754,1.512,0.777,,Sharp-Right-Turn,Sharp-Right-Turn
0.775,0.757,1.514,5,,Sharp-Right-Turn,Sharp-Right-Turn
0.774,0.757,1.515,0.773,,Sharp-Right-Turn,Sharp-Right-Turn
0.774,0.76,1.517,0.766,,Sharp-Right-Turn,Sharp-Right-Turn
0.773,0.764,1.521,0.76,,Sharp-Right-Turn,Sharp-Right-Turn
0.776,0.794,1.524,0.754,,Sharp-Right-Turn,Sharp-Right-Turn
0.778,0.803,1.535,0.751,,Sharp-Right-Turn,Sharp-Right-Turn
0.783,0.763,1.546,0.745,,Sharp-Right-Turn,Sharp-Right-Turn
0.826,0.795,1.539,0.743,,Sharp-Right-Turn,Sharp-Right-Turn
0.776,0.792,1.535,0.74,,Sharp-Right-Turn,Sharp-Right-Turn
0.775,0.769,1.557,0.738,,Sharp-Right-Turn,Sharp-Right-Turn
0.775,0.789,1.561,0.739,,Sharp-Right-Turn,Sharp-Right-Turn
0.778,0.805,1.558,0.735,,Sharp-Right-Turn,Sharp-Right-Turn
0.778,0.775,1.578,0.73,,Sharp-Right-Turn,Sharp-Right-Turn
0.784,0.768,1.605,0.728,,Sharp-Right-Turn,Sharp-Right-Turn
0.805,0.765,2.912,0.726,,Sharp-Right-Turn,Sharp-Right-Turn
1.529,0.762,1.593,0.724,,Move-Forward,Move-Forward
1.531,0.758,1.591,0.723,,Move-Forward,Move-Forward
0.791,0.756,1.597,0.722,,Sharp-Right-Turn,Sharp-Right-Turn
1.532,0.753,1.588,0.722,,Move-Forward,Move-Forward
1.53,0.752,1.599,0.723,,Move-Forward,Move-Forward
1.529,0.751,1.592,0.724,,Move-Forward,Move-Forward
1.528,0.751,1.578,0.725,,Move-Forward,Move-Forward
1.528,0.751,1.584,0.726,,Move-Forward,Move-Forward
1.527,0.75,1.595,0.727,,Move-Forward,Move-Forward
1.527,0.75,1.594,0.727,,Move-Forward,Move-Forward
1.525,0.75,1.578,0.729,,Move-Forward,Move-Forward
1.521,0.748,1.577,0.733,,Move-Forward,Move-Forward
1.514,0.745,1.581,0.74,,Move-Forward,Move-Forward
1.504,0.742,1.575,0.749,,Move-Forward,Move-Forward
1.493,0.738,1.567,0.76,,Move-Forward,Move-Forward
1.48,0.732,1.557,0.774,,Move-Forward,Move-Forward
1.465,0.726,1.547,0.788,,Move-Forward,Move-Forward
1.45,0.72,1.555,0.803,,Move-Forward,Move-Forward
1.433,0.714,2.959,0.82,,Move-Forward,Move-Forward
1.416,0.706,1.522,0.837,,Move-Forward,Move-Forward
1.397,0.7,2.97,0.855,,Move-Forward,Move-Forward
1.379,0.693,1.444,0.873,,Move-Forward,Move-Forward
1.361,0.686,2.987,0.892,,Move-Forward,Move-Forward
1.342,0.679,1.381,0.91,,Move-Forward,Move-Forward
1.323,0.673,1.384,0.929,,Move-Forward,Move-Forward
1.304,0.666,1.343,0.947,,Move-Forward,Move-Forward
1.285,0.658,1.321,0.966,,Move-Forward,Move-Forward
1.267,0.652,1.302,0.985,,Move-Forward,Move-Forward
1.248,0.645,1.283,1.004,,Move-Forward,Move-Forward
1.229,0.638,1.27,1.023,,Move-Forward,Move-Forward
1.209,0.631,1.25,1.042,,Move-Forward,Move-Forward
1.19,0.624,1.227,1.061,,Move-Forward,Move-Forward
1.17,0.617,1.208,1.08,,Move-Forward,Move-Forward
1.151,0.609,1.188,1.099,,Move-Forward,Move-Forward
1.132,0.602,3.093,1.118,,Move-Forward,Move-Forward
1.114,0.595,3.109,1.136,,Move-Forward,Move-Forward
1.096,0.587,1.157,1.155,,Move-Forward,Move-Forward
1.078,0.58,1.139,1.172,,Move-Forward,Move-Forward
1.06,0.573,1.096,1.19,,Move-Forward,Move-Forward
1.042,0.566,1.281,1.208,,Move-Forward,Move-Forward
1.024,0.559,1.084,1.226,,Move-Forward,Move-Forward
1.006,0.551,1.063,1.245,,Move-Forward,Move-Forward
0.987,0.544,1.048,1.263,,Move-Forward,Move-Forward
0.969,0.536,1.026,1.281,,Move-Forward,Move-Forward
0.715,0.529,1.011,1.299,,Sharp-Right-Turn,Sharp-Right-Turn
0.677,0.522,0.99,1.318,,Sharp-Right-Turn,Sharp-Right-Turn
0.651,0.514,0.971,1.336,,Sharp-Right-Turn,Sharp-Right-Turn
0.628,0.506,0.953,1.355,,Sharp-Right-Turn,Sharp-Right-Turn
0.606,0.498,0.934,1.373,,Sharp-Right-Turn,Sharp-Right-Turn
0.591,0.49,0.918,1.39,,Sharp-Right-Turn,Sharp-Right-Turn
0.585,0.484,0.882,1.406,,Sharp-Right-Turn,Sharp-Right-Turn
0.573,0.478,0.874,1.415,,Sharp-Right-Turn,Sharp-Right-Turn
0.835,0.479,0.871,1.415,,Sharp-Right-Turn,Sharp-Right-Turn
0.837,0.483,0.881,1.413,,Sharp-Right-Turn,Sharp-Right-Turn
0.839,0.482,0.883,1.413,,Sharp-Right-Turn,Sharp-Right-Turn
0.839,0.481,0.904,1.412,,Sharp-Right-Turn,Sharp-Right-Turn
0.839,0.479,0.904,1.412,,Sharp-Right-Turn,Sharp-Right-Turn
0.837,0.476,0.909,1.412,,Sharp-Right-Turn,Sharp-Right-Turn
0.831,0.475,0.909,1.412,,Sharp-Right-Turn,Sharp-Right-Turn
0.834,0.47,3.245,1.412,,Sharp-Right-Turn,Sharp-Right-Turn
0.834,0.47,3.245,1.412,,Sharp-Right-Turn,Sharp-Right-Turn
0.831,0.469,3.246,1.412,,Sharp-Right-Turn,Sharp-Right-Turn
0.831,0.468,2.647,1.412,,Sharp-Right-Turn,Sharp-Right-Turn
0.527,0.466,2.648,1.412,,Sharp-Right-Turn,Sharp-Right-Turn
0.832,0.464,2.648,1.414,,Sharp-Right-Turn,Sharp-Right-Turn
0.836,0.462,2.651,1.409,,Sharp-Right-Turn,Sharp-Right-Turn
0.839,0.46,2.648,1.408,,Sharp-Right-Turn,Sharp-Right-Turn
0.842,0.455,3.245,1.408,,Sharp-Right-Turn,Sharp-Right-Turn
0.843,0.456,0.906,1.407,,Sharp-Right-Turn,Sharp-Right-Turn
0.843,0.454,2.649,1.407,,Sharp-Right-Turn,Sharp-Right-Turn
0.841,0.453,0.916,1.41,,Sharp-Right-Turn,Sharp-Right-Turn
0.838,0.451,2.642,1.411,,Sharp-Right-Turn,Sharp-Right-Turn
0.838,0.449,2.643,1.41,,Sharp-Right-Turn,Sharp-Right-Turn
0.838,0.447,2.644,1.41,,Sharp-Right-Turn,Sharp-Right-Turn
0.834,0.445,2.644,1.417,,Sharp-Right-Turn,Sharp-Right-Turn
0.837,0.443,2.646,1.416,,Sharp-Right-Turn,Sharp-Right-Turn
0.845,0.441,2.647,1.413,,Sharp-Right-Turn,Sharp-Right-Turn
0.846,0.439,2.648,1.414,,Sharp-Right-Turn,Sharp-Right-Turn
0.845,0.437,2.65,1.414,,Sharp-Right-Turn,Sharp-Right-Turn
0.845,0.435,2.653,1.415,,Sharp-Right-Turn,Sharp-Right-Turn
0.846,0.433,1.496,1.416,,Sharp-Right-Turn,Sharp-Right-Turn
0.847,0.431,2.658,0.802,,Sharp-Right-Turn,Sharp-Right-Turn
0.836,0.428,1.482,0.797,,Sharp-Right-Turn,Sharp-Right-Turn
0.835,0.425,1.475,0.796,,Sharp-Right-Turn,Sharp-Right-Turn
0.834,0.423,1.469,0.795,,Sharp-Right-Turn,Sharp-Right-Turn
0.834,0.42,1.466,0.797,,Sharp-Right-Turn,Sharp-Right-Turn
0.842,0.417,2.665,0.479,,Sharp-Right-Turn,Sharp-Right-Turn
0.841,0.415,2.671,0.47,,Sharp-Right-Turn,Sharp-Right-Turn
0.841,0.414,2.671,0.461,,Sharp-Right-Turn,Sharp-Right-Turn
0.844,0.412,2.676,0.456,,Sharp-Right-Turn,Sharp-Right-Turn
0.843,0.411,1.489,0.451,,Sharp-Right-Turn,Sharp-Right-Turn
0.831,0.413,1.483,0.45,,Sharp-Right-Turn,Sharp-Right-Turn
0.827,0.414,1.477,0.446,,Sharp-Right-Turn,Sharp-Right-Turn
0.826,0.413,1.448,0.445,,Sharp-Right-Turn,Sharp-Right-Turn
0.825,0.408,1.444,0.438,,Sharp-Right-Turn,Sharp-Right-Turn
0.826,0.408,1.448,0.432,,Sharp-Right-Turn,Sharp-Right-Turn
0.828,0.408,1.443,0.428,,Sharp-Right-Turn,Sharp-Right-Turn
0.83,0.411,1.462,0.429,,Sharp-Right-Turn,Sharp-Right-Turn
0.829,0.423,1.465,0.428,,Sharp-Right-Turn,Sharp-Right-Turn
0.828,0.441,1.445,0.417,,Sharp-Right-Turn,Sharp-Right-Turn
0.83,0.467,1.442,0.408,,Sharp-Right-Turn,Sharp-Right-Turn
0.836,0.418,1.438,0.402,,Sharp-Right-Turn,Sharp-Right-Turn
0.84,0.419,1.439,0.398,,Sharp-Right-Turn,Sharp-Right-Turn
5,0.427,1.439,0.396,,Slight-Right-Turn,Slight-Right-Turn
0.828,0.484,1.458,0.393,,Sharp-Right-Turn,Sharp-Right-Turn
0.827,0.999,1.45,0.408,,Sharp-Right-Turn,Sharp-Right-Turn
0.83,0.431,1.449,0.387,,Sharp-Right-Turn,Sharp-Right-Turn
0.832,0.433,1.444,0.387,,Sharp-Right-Turn,Sharp-Right-Turn
0.835,0.434,1.444,0.387,,Sharp-Right-Turn,Sharp-Right-Turn
0.835,0.43,1.444,0.386,,Sharp-Right-Turn,Sharp-Right-Turn
0.835,0.43,1.444,0.385,,Sharp-Right-Turn,Sharp-Right-Turn
0.835,0.43,1.445,0.385,,Sharp-Right-Turn,Sharp-Right-Turn
0.839,0.428,1.442,0.384,,Sharp-Right-Turn,Sharp-Right-Turn
0.852,0.431,1.442,0.382,,Sharp-Right-Turn,Sharp-Right-Turn
0.856,0.432,1.443,0.381,,Sharp-Right-Turn,Sharp-Right-Turn
3.332,0.433,1.443,0.38,,Slight-Right-Turn,Slight-Right-Turn
3.333,0.437,1.444,0.379,,Slight-Right-Turn,Slight-Right-Turn
3.334,0.442,1.445,0.378,,Slight-Right-Turn,Slight-Right-Turn
3.334,0.453,1.448,0.377,,Slight-Right-Turn,Slight-Right-Turn
3.335,0.817,1.448,0.374,,Move-Forward,Move-Forward
3.334,0.818,1.448,0.378,,Move-Forward,Move-Forward
3.334,0.801,1.448,0.378,,Move-Forward,Move-Forward
3.333,0.818,1.448,0.375,,Move-Forward,Move-Forward
3.332,0.814,1.448,0.376,,Move-Forward,Move-Forward
3.329,0.817,1.449,0.382,,Move-Forward,Move-Forward
3.323,0.81,1.452,0.388,,Move-Forward,Move-Forward
3.314,0.803,1.456,0.397,,Move-Forward,Move-Forward
3.302,0.799,1.46,0.408,,Move-Forward,Move-Forward
3.288,0.79,1.466,0.421,,Move-Forward,Move-Forward
3.271,0.783,1.473,0.436,,Move-Forward,Move-Forward
3.256,0.78,1.479,0.451,,Move-Forward,Move-Forward
3.242,0.77,1.486,0.467,,Move-Forward,Move-Forward
3.224,0.762,1.494,0.485,,Move-Forward,Move-Forward
3.203,0.754,1.502,0.503,,Move-Forward,Move-Forward
3.188,0.591,1.51,0.521,,Move-Forward,Move-Forward
3.168,0.741,1.518,0.54,,Move-Forward,Move-Forward
3.149,0.632,1.526,0.559,,Move-Forward,Move-Forward
3.129,0.654,1.534,0.579,,Move-Forward,Move-Forward
3.11,0.715,1.542,0.598,,Move-Forward,Move-Forward
0.881,0.707,1.551,0.617,,Sharp-Right-Turn,Move-Forward
3.071,0.699,1.559,0.636,,Move-Forward,Move-Forward
3.051,0.691,1.567,0.656,,Move-Forward,Move-Forward
3.031,0.683,1.576,0.676,,Move-Forward,Move-Forward
3.012,0.675,1.584,0.695,,Move-Forward,Move-Forward
2.994,0.668,1.592,0.714,,Move-Forward,Move-Forward
2.973,0.661,1.6,0.731,,Move-Forward,Move-Forward
2.957,0.654,1.607,0.748,,Move-Forward,Move-Forward
2.94,0.648,1.614,0.764,,Move-Forward,Move-Forward
0.811,0.641,1.621,0.781,,Sharp-Right-Turn,Sharp-Right-Turn
0.795,0.638,1.628,0.797,,Sharp-Right-Turn,Sharp-Right-Turn
0.778,0.648,1.635,0.812,,Sharp-Right-Turn,Sharp-Right-Turn
0.781,0.636,1.642,0.829,,Sharp-Right-Turn,Sharp-Right-Turn
2.859,0.629,1.649,0.844,,Move-Forward,Move-Forward
0.749,0.62,1.655,0.859,,Sharp-Right-Turn,Sharp-Right-Turn
2.835,0.612,1.661,0.872,,Move-Forward,Move-Forward
2.829,0.608,1.665,0.878,,Move-Forward,Move-Forward
2.828,0.607,1.666,0.879,,Move-Forward,Move-Forward
2.828,0.604,1.666,0.879,,Move-Forward,Move-Forward
2.827,0.607,1.665,0.881,,Move-Forward,Move-Forward
2.826,0.608,1.665,0.882,,Move-Forward,Move-Forward
2.825,0.607,1.666,0.883,,Move-Forward,Move-Forward
2.823,0.607,1.666,0.885,,Move-Forward,Move-Forward
2.821,0.606,1.667,0.886,,Move-Forward,Move-Forward
2.819,0.606,1.668,0.889,,Move-Forward,Move-Forward
2.817,0.606,1.668,0.891,,Move-Forward,Move-Forward
2.815,0.605,1.669,0.893,,Move-Forward,Move-Forward
2.813,0.605,1.67,0.895,,Move-Forward,Move-Forward
2.809,0.6,1.672,0.9,,Move-Forward,Move-Forward
2.801,0.599,1.675,0.907,,Move-Forward,Move-Forward
2.791,0.6,1.679,0.917,,Move-Forward,Move-Forward
2.78,0.597,1.683,0.929,,Move-Forward,Move-Forward
2.767,0.592,1.688,0.942,,Move-Forward,Move-Forward
2.752,0.589,1.694,0.957,,Move-Forward,Move-Forward
2.736,0.587,1.703,0.973,,Move-Forward,Move-Forward
2.719,0.58,1.71,0.99,,Move-Forward,Move-Forward
2.702,0.575,1.714,1.007,,Move-Forward,Move-Forward
2.684,0.565,1.721,1.025,,Move-Forward,Move-Forward
2.665,0.562,1.728,1.043,,Move-Forward,Move-Forward
2.647,0.558,1.735,1.061,,Move-Forward,Move-Forward
2.628,0.558,1.745,1.083,,Move-Forward,Move-Forward
2.609,0.575,1.75,1.1,,Move-Forward,Move-Forward
2.589,0.538,1.757,1.119,,Move-Forward,Move-Forward
2.569,0.529,1.765,1.139,,Move-Forward,Move-Forward
2.55,0.523,1.772,1.158,,Move-Forward,Move-Forward
2.53,0.512,1.779,1.178,,Move-Forward,Move-Forward
2.51,0.512,1.787,1.197,,Move-Forward,Move-Forward
2.491,0.503,1.794,1.217,,Move-Forward,Slight-Right-Turn
2.471,0.496,1.801,1.237,,Move-Forward,Slight-Right-Turn
2.451,0.486,1.809,1.26,,Slight-Right-Turn,Slight-Right-Turn
2.431,0.479,1.816,1.276,,Slight-Right-Turn,Slight-Right-Turn
2.411,0.47,1.823,1.296,,Slight-Right-Turn,Slight-Right-Turn
2.391,0.464,1.831,1.316,,Slight-Right-Turn,Slight-Right-Turn
2.372,0.458,1.838,1.335,,Slight-Right-Turn,Slight-Right-Turn
2.354,0.452,1.844,1.353,,Slight-Right-Turn,Slight-Right-Turn
2.337,0.448,1.85,1.371,,Slight-Right-Turn,Slight-Right-Turn
2.32,0.444,1.856,1.388,,Slight-Right-Turn,Slight-Right-Turn
2.304,0.441,1.862,1.404,,Slight-Right-Turn,Slight-Right-Turn
2.288,0.439,1.867,1.419,,Slight-Right-Turn,Slight-Right-Turn
2.274,0.44,1.872,1.434,,Slight-Right-Turn,Slight-Right-Turn
2.258,0.439,1.876,1.447,,Slight-Right-Turn,Slight-Right-Turn
2.248,0.445,1.881,1.459,,Slight-Right-Turn,Slight-Right-Turn
2.233,0.45,1.884,1.471,,Slight-Right-Turn,Slight-Right-Turn
2.222,0.449,1.888,1.482,,Slight-Right-Turn,Slight-Right-Turn
2.214,0.459,1.891,1.493,,Slight-Right-Turn,Slight-Right-Turn
2.205,0.466,1.895,1.503,,Slight-Right-Turn,Slight-Right-Turn
2.195,0.445,1.898,1.512,,Slight-Right-Turn,Slight-Right-Turn
2.184,0.441,1.901,1.52,,Slight-Right-Turn,Slight-Right-Turn
2.179,0.437,1.906,1.525,,Slight-Right-Turn,Slight-Right-Turn
2.181,0.436,1.904,1.525,,Slight-Right-Turn,Slight-Right-Turn
2.181,0.436,1.904,1.525,,Slight-Right-Turn,Slight-Right-Turn
2.179,0.436,1.904,1.525,,Slight-Right-Turn,Slight-Right-Turn
2.179,0.436,1.904,1.525,,Slight-Right-Turn,Slight-Right-Turn
2.181,0.436,1.904,1.526,,Slight-Right-Turn,Slight-Right-Turn
2.177,0.436,1.908,1.527,,Slight-Right-Turn,Slight-Right-Turn
2.174,0.436,1.905,1.53,,Slight-Right-Turn,Slight-Right-Turn
2.169,0.436,1.907,1.534,,Slight-Right-Turn,Slight-Right-Turn
2.163,0.436,1.909,1.54,,Slight-Right-Turn,Slight-Right-Turn
2.155,0.507,1.911,1.547,,Move-Forward,Slight-Right-Turn
2.147,0.444,1.914,1.555,,Slight-Right-Turn,Slight-Right-Turn
2.138,0.442,1.916,1.563,,Slight-Right-Turn,Slight-Right-Turn
2.129,0.487,1.919,1.572,,Slight-Right-Turn,Slight-Right-Turn
2.119,0.486,1.921,1.582,,Slight-Right-Turn,Slight-Right-Turn
2.107,0.495,1.924,1.593,,Move-Forward,Slight-Right-Turn
2.096,3.091,1.927,1.605,,Slight Left,Slight Left
2.085,3.097,1.93,1.615,,Slight Left,Slight Left
2.074,0.457,1.932,1.626,,Slight-Right-Turn,Slight-Right-Turn
2.062,0.458,1.935,1.638,,Slight-Right-Turn,Slight-Right-Turn
2.049,0.462,1.937,1.652,,Slight-Right-Turn,Slight-Right-Turn
2.035,0.473,1.939,1.665,,Slight-Right-Turn,Slight-Right-Turn
2.021,0.492,1.942,1.679,,Slight-Right-Turn,Move-Forward
2.008,0.481,1.945,1.692,,Slight-Right-Turn,Move-Forward
1.995,1.464,1.948,1.705,,Slight Left,Slight Left
1.981,1.455,1.95,1.719,,Slight Left,Slight Left
1.968,1.452,1.953,1.731,,Slight Left,Slight Left
1.956,1.447,1.955,1.744,,Slight Left,Slight Left
1.943,1.446,1.957,1.756,,Slight Left,Slight Left
1.931,1.444,1.959,1.769,,Slight Left,Slight Left
1.918,1.442,1.961,1.782,,Slight Left,Slight Left
1.905,1.441,1.963,1.795,,Slight Left,Slight Left
1.891,1.437,1.965,1.809,,Slight Left,Slight Left
